student_id,CGPA,backlogs,skills_score,interview_score,resume_score,communication_score,consistency_score,time_management_score,hackathons_participated,projects_count,certifications_count,github_activity,internships_completed,selected
ST_00001,7.19,0,48,9,7,1,5,8,1,2,3,42,0,1
ST_00002,9.78,0,75,4,2,4,10,8,0,0,1,18,0,1
ST_00003,8.79,0,45,10,2,7,1,10,3,1,1,27,0,1
ST_00004,8.19,0,63,7,5,2,2,9,0,2,0,47,1,1
ST_00005,6.2,0,65,5,9,9,7,10,0,1,0,51,0,0
ST_00006,6.2,0,73,1,2,2,5,10,1,2,2,84,2,0
ST_00007,5.76,0,40,10,9,1,9,4,1,4,0,80,0,1
ST_00008,9.4,0,62,4,8,5,3,3,0,0,1,49,1,1
ST_00009,8.21,0,56,1,10,2,9,4,1,2,1,41,1,1
ST_00010,8.69,0,75,1,4,6,10,8,0,1,1,80,1,1
ST_00011,5.59,2,76,7,5,2,6,4,0,1,0,53,2,0
ST_00012,9.86,0,89,3,6,6,10,9,2,0,0,71,1,1
ST_00013,9.25,1,97,9,9,6,10,3,2,0,1,86,2,1
ST_00014,6.46,2,84,7,10,10,3,5,1,1,1,26,0,0
ST_00015,6.32,0,59,6,6,2,1,8,0,1,0,46,1,0
ST_00016,6.33,0,98,2,6,2,10,8,1,3,3,25,0,1
ST_00017,6.87,0,98,5,6,6,9,1,0,2,2,82,0,0
ST_00018,7.86,0,65,8,10,9,3,7,0,4,1,33,0,1
ST_00019,7.44,0,50,4,1,4,2,5,1,2,1,14,0,0
ST_00020,6.81,1,94,8,1,10,1,4,0,1,0,3,0,0
ST_00021,8.25,0,59,9,9,4,4,1,3,1,3,0,0,1
ST_00022,6.13,3,98,8,10,2,7,4,0,1,3,91,0,0
ST_00023,6.81,1,40,6,2,4,3,3,0,1,1,39,2,0
ST_00024,7.15,0,83,2,5,10,10,1,1,2,1,73,0,0
ST_00025,7.55,0,52,8,9,7,6,9,1,2,1,91,1,1
ST_00026,9.03,0,97,4,6,4,3,7,0,1,1,60,0,1
ST_00027,6.4,0,75,1,9,6,9,7,0,0,1,35,2,0
ST_00028,7.81,0,98,5,2,5,7,2,1,0,1,17,2,0
ST_00029,8.17,1,83,3,10,7,6,7,0,1,0,2,1,0
ST_00030,5.71,0,77,3,1,3,4,4,0,0,1,42,1,0
ST_00031,8.23,0,52,7,2,3,4,4,1,2,1,45,0,0
ST_00032,6.27,1,53,1,2,5,4,9,0,0,0,79,3,0
ST_00033,5.79,0,51,3,5,4,5,4,3,2,2,27,2,0
ST_00034,9.77,0,92,10,1,5,1,3,1,1,1,64,2,1
